,location,total_sqft,bath,price,bhk,encoded_loc
0,Electronic City Phase II,1056.0,2,39.07,2,78
1,Chikka Tirupathi,2600.0,5,120.0,4,61
2,Uttarahalli,1440.0,2,62.0,3,226
3,Lingadheeranahalli,1521.0,3,95.0,3,158
4,Kothanur,1200.0,2,51.0,2,150
5,Whitefield,1170.0,2,38.0,2,235
6,Old Airport Road,2732.0,4,204.0,4,182
7,Marathahalli,1310.0,3,63.25,3,165
8,Whitefield,1800.0,2,70.0,3,235
9,7th Phase JP Nagar,1000.0,2,38.0,2,8
10,Gottigere,1100.0,2,40.0,2,85
11,Sarjapur,2250.0,3,148.0,3,203
12,Mysore Road,1175.0,2,73.5,2,171
13,Bisuvanahalli,1180.0,3,48.0,3,50
14,Raja Rajeshwari Nagar,1540.0,3,60.0,3,194
15,Others,1100.0,2,48.0,2,184
16,Binny Pete,1755.0,3,122.0,3,49
17,Bellandur,1767.0,3,103.0,3,44
18,Others,510.0,1,25.25,1,184
19,Others,1250.0,3,56.0,3,184
20,Electronic City,660.0,1,23.1,2,77
21,Whitefield,1610.0,3,81.0,3,235
22,Ramagondanahalli,1151.0,2,48.77,2,197
23,Electronic City,1025.0,2,47.0,3,77
24,Yelahanka,3525.0,4,186.0,4,237
25,Bisuvanahalli,1075.0,2,35.0,3,50
26,Hebbal,1760.0,2,123.0,3,95
27,Raja Rajeshwari Nagar,1693.0,3,57.39,3,194
28,Kasturi Nagar,1925.0,3,125.0,3,135
29,Kanakpura Road,700.0,2,36.0,2,131
30,Electronics City Phase 1,1070.0,2,45.5,2,79
31,Kundalahalli,1724.0,3,125.0,3,154
32,Chikkalasandra,1290.0,2,56.12,3,63
33,Uttarahalli,1143.0,2,45.0,2,226
34,Murugeshpalya,1296.0,2,81.0,2,170
35,Sarjapur  Road,1254.0,3,38.0,3,204
36,Others,600.0,1,38.0,1,184
37,Yelahanka,660.0,1,48.0,1,237
38,Kanakpura Road,1330.74,2,91.79,2,131
39,Doddathoguru,970.0,2,33.0,2,73
40,Whitefield,1459.0,2,94.82,2,235
41,Others,869.0,2,36.0,2,184
42,Others,1270.0,2,50.0,2,184
43,Bhoganhalli,1670.0,3,99.0,3,47
44,Whitefield,2010.0,3,91.0,3,235
45,Lakshminarayana Pura,1185.0,2,75.0,2,157
46,Yelahanka,1600.0,2,75.0,3,237
47,Begur Road,1200.0,2,44.0,2,43
48,Devanahalli,4715.0,2,192.0,4,69
49,Others,840.0,2,45.0,2,184
50,Others,4395.0,3,240.0,3,184
51,Others,845.0,2,55.0,2,184
52,Varthur,1160.0,2,44.0,2,227
53,Doddathoguru,1100.0,2,62.0,2,73
54,Gunjur,1140.0,2,43.0,2,88
55,Marathahalli,1220.0,2,57.0,2,165
56,Kanakpura Road,1005.0,2,36.68,2,131
57,Begur Road,1358.0,2,80.58,2,43
58,Hegde Nagar,1569.0,3,101.0,3,97
59,Haralur Road,1240.0,2,70.0,2,93
60,Hennur Road,2089.0,3,140.0,3,99
61,Kothannur,1206.0,2,48.23,2,149
62,Kalena Agrahara,1150.0,2,40.0,2,125
63,Others,2511.0,3,205.0,3,184
64,ISRO Layout,4400.0,6,250.0,6,109
65,Others,1660.0,2,105.0,3,184
66,Hennur Road,4682.0,2,224.5,4,99
67,Yelahanka,1326.0,2,78.0,2,237
68,Garudachar Palya,1325.0,2,60.8,3,82
69,Hegde Nagar,3000.0,7,210.0,6,97
70,Kanakpura Road,1665.0,3,88.0,3,131
71,Dasanapura,708.0,2,37.0,2,67
72,Kasavanhalli,1060.0,2,58.06,2,134
73,Sanjay nagar,1000.0,2,70.0,2,201
74,Electronic City,1000.0,2,28.88,2,77
75,Others,1450.0,2,70.0,3,184
76,Thanisandra,1296.0,2,80.0,2,219
77,Domlur,1540.0,3,90.0,3,74
78,Sarjapura - Attibele Road,1330.0,2,48.0,3,205
79,Others,1200.0,2,65.0,2,184
80,Others,1200.0,3,90.0,3,184
81,Yeshwanthpur,2502.0,3,138.0,3,240
82,Kothanur,2400.0,2,150.0,3,150
83,Others,1007.0,2,43.0,2,184
84,Others,1200.0,2,50.0,2,184
85,Others,966.0,2,49.9,2,184
86,Nagarbhavi,1630.0,2,98.0,3,174
87,Others,782.0,2,55.68,2,184
88,Devanahalli,1260.0,2,66.78,2,69
89,Others,1800.0,3,120.0,3,184
90,Others,1413.0,2,75.0,3,184
91,Whitefield,1116.0,2,51.91,2,235
92,Electronic City,1530.0,2,45.9,3,77
93,Ramamurthy Nagar,3700.0,4,225.0,4,198
94,Sarjapur  Road,2497.0,3,140.0,3,204
95,Kengeri,1540.0,2,64.0,3,139
96,Thanisandra,1436.0,3,74.75,3,219
97,Malleshwaram,1100.0,2,75.0,2,164
98,Hebbal,7145.0,4,477.0,4,95
99,Shampura,2650.0,4,150.0,4,209
100,Devanahalli,1282.0,2,68.52,3,69
101,Kadugodi,1050.0,2,34.0,2,121
102,LB Shastri Nagar,1600.0,3,65.0,3,155
103,Others,945.0,2,54.0,2,184
104,Hormavu,1500.0,2,78.0,2,103
105,Others,1870.0,3,110.0,3,184
106,Sarjapur,1600.0,3,75.0,3,203
107,Kudlu Gate,1535.0,3,83.0,3,152
108,Kanakpura Road,950.0,2,57.0,2,131
109,Devanahalli,1360.0,2,65.0,2,69
110,8th Phase JP Nagar,1594.5,2,54.005,2,9
111,Bommasandra Industrial Area,1280.0,3,50.4,3,53
112,Others,1260.0,2,85.05,3,184
113,Yelahanka,3050.0,5,213.0,5,237
114,Kasavanhalli,1563.05,3,105.0,3,134
115,ISRO Layout,1000.0,2,60.0,2,109
116,Anandapura,1167.0,2,43.76,2,17
117,Kothanur,1828.0,3,110.0,3,150
118,Kengeri Satellite Town,890.0,2,35.0,2,140
119,Others,1612.0,3,46.74,3,184
120,Mysore Road,1710.0,4,91.31,3,171
121,Kannamangala,957.0,2,58.0,2,132
122, Devarachikkanahalli,1250.0,2,44.0,3,0
123,Hulimavu,1125.0,2,50.0,2,108
124,Electronic City Phase II,1020.0,2,30.6,2,78
125,Kalena Agrahara,1200.0,2,50.0,2,125
126,Thanisandra,1735.0,3,135.0,3,219
127,Thanisandra,2050.0,3,145.0,3,219
128,Others,1350.0,2,48.0,3,184
129,Hosa Road,1063.0,2,32.0,2,104
130,Others,1904.0,3,150.0,3,184
131,Others,1425.0,2,75.0,3,184
132,Electronic City,1500.0,2,64.5,3,77
133,Electronic City,1060.0,2,60.0,2,77
134,Others,1470.0,2,70.0,3,184
135,Electronic City,1152.0,2,64.5,2,77
136,Electronic City,1350.0,2,56.0,3,77
137,CV Raman Nagar,1550.0,3,65.0,3,57
138,Others,1500.0,3,100.0,3,184
139,Nagavara,400.0,1,14.0,1,176
140,Electronic City,770.0,1,36.0,2,77
141,Hulimavu,1242.0,2,51.0,2,108
142,Thanisandra,2144.0,3,145.0,3,219
143,Vijayanagar,1704.0,3,110.0,3,231
144,Electronic City,1070.0,2,52.0,2,77
145,Others,1340.0,2,55.7,2,184
146,Electronic City,1025.0,2,46.0,2,77
147,KR Puram,1785.0,2,56.8,2,119
148,Marathahalli,1200.0,2,52.0,2,165
149,Kanakpura Road,2250.0,4,110.0,4,131
150,Pattandur Agrahara,1550.0,2,80.0,3,189
151,Marathahalli,1200.0,2,60.0,2,165
152,Yelahanka,1327.0,2,98.0,2,237
153,Kothanur,1186.0,2,58.0,2,150
154,Others,1783.0,3,115.0,3,184
155,HSR Layout,1400.0,3,56.0,3,92
156,Nagasandra,980.0,2,48.0,2,175
157,EPIP Zone,1285.0,2,82.0,2,76
158,Others,912.0,2,70.0,3,184
159,Whitefield,1225.0,2,47.6,2,235
160,Whitefield,1075.0,2,53.0,2,235
161,Kadugodi,1260.0,2,54.0,3,121
162,Yelahanka,1282.0,2,48.7,3,237
163,Kogilu,1909.0,3,88.0,3,146
164,Panathur,1359.0,2,87.0,2,187
165,Others,1207.0,2,43.5,2,184
166,Kammasandra,1595.0,3,65.0,3,129
167,Others,1798.0,3,89.0,3,184
168,Electronics City Phase 1,1475.0,3,78.29,3,79
169,Others,1580.0,3,100.0,3,184
170,Dasarahalli,1295.0,2,65.0,2,68
171,Magadi Road,3600.0,6,141.0,6,159
172,Electronic City,589.0,1,27.0,1,77
173,Others,1415.0,3,78.0,3,184
174,Sarjapur  Road,1787.0,3,98.29,3,204
175,Sarjapur  Road,1787.0,3,125.0,3,204
176,Koramangala,1475.0,2,90.0,3,148
177,Others,2000.0,4,75.5,4,184
178,Sarjapur  Road,984.0,2,44.28,2,204
179,Devanahalli,2390.0,2,74.82,3,69
180,7th Phase JP Nagar,1080.0,2,72.0,2,8
181,Others,1500.0,2,115.0,2,184
182,Hebbal,1900.0,3,119.0,3,95
183,Budigere,1153.0,2,56.4,2,56
184,Others,1148.0,2,60.0,2,184
185,Others,1110.0,2,55.0,2,184
186,Electronic City,1100.0,2,42.0,2,77
187,Others,1500.0,2,65.0,3,184
188,Others,1080.0,2,39.0,2,184
189,Vijayanagar,1933.0,3,129.0,3,231
190,Ramamurthy Nagar,3500.0,5,150.0,5,198
191,Others,1060.0,2,60.0,2,184
192,Others,1644.0,3,84.0,3,184
193,Others,1285.0,2,72.5,2,184
194,Electronic City,1200.0,3,90.0,3,77
195,Electronic City,910.0,2,40.0,2,77
196,Kothanur,1577.0,3,70.0,3,150
197,Others,4050.0,3,280.0,3,184
198,OMBR Layout,2420.0,3,185.0,3,181
199,Others,1060.0,2,55.0,2,184
200,7th Phase JP Nagar,1270.0,2,93.0,2,8
201,Others,1280.0,2,69.0,2,184
202,Horamavu Agara,1200.0,2,95.0,4,101
